rcyphaonwv,cvtqdpofes,upxwxgphiw,kudewomyyk,Pet,ixrolpyroy,asauczwrxk
vbjmpknlsj,759,903,doG,cat,vxwhcysmep,0.266
fhvwypneur,eqynjvyffa,dog,-0.4195,DOg,-0.331,-965
118,-0.0485,-127,fbtnrxzaot,dOg,cAT,-101
-0.401,20,dog,wgcakczujp,dog,-943,-0.2475
338,xteyvmzdpp,0.1595,525,cat,-592,gbxlpicdkv
iwddzvstxp,cagpnsezkf,0.093,24,caT,0.4625,cat
-296,jnnitswtur,gvnbofxzui,0.294,dOG,wyvywspsof,yvlgjionzc
zaiyzfiizf,-0.4995,afdoijetbq,0.42,drfnotqcob,usgocqzicl,0.0865
-0.107,0.035,-946,-190,dog,479,zzrpxmmpcf
0.1745,-0.077,-0.1235,885,Dog,-133,-634
-344,CaT,bjwjbtqrgx,-42,yznoraqvvq,0.1295,DOg
xjtylyvopa,doG,hugtdakvbp,quqoucocmb,vlmqjfthzo,ikudkregwj,235
CAT,ddmouszzyj,nhvhprfmyu,qoywhgotnz,DOg,DOG,-831
347,eiohnprfyz,543,-107,doG,-0.011,-0.0065
0.0375,mgyijpizaf,781,zjgbaomyrm,cnfsmjagtb,-901,cAt
0.269,-0.006,pewwiwijif,501,DOg,hzcqeoouqq,361
-781,gwrldtlsse,CaT,81,cAT,0.3695,824
wqfbbsfkdl,-240,-0.4195,0.198,dog,oeyvcvznaq,DOG
domptofdry,pjzabfaksp,rzxxfxymbj,666,cat,-210,DOG
0.31,edxtiiycpb,wbrurtkwqh,-977,dljtuuycxr,DOG,ugcboyubwx
wpzmwdmevt,lvxylbnyuo,551,182,doG,-90,DoG
-759,322,0.3595,-0.0715,DOg,-794,-0.3305
-0.288,yghgnzjalx,0.183,-327,cAT,caT,dOG
486,0.2225,-272,hlnpbcmnht,-0.1145,fgqathgozc,-730
-0.2495,469,mmsgnyljii,970,Cat,-0.1315,-0.4445
-0.0235,0.4745,91,-0.306,caT,qhainlnemp,codlxhdzou
-927,bltfvvdhrq,DOG,-0.493,DOg,0.214,CaT
456,rxkaqlctxc,-0.072,lqtjuhlyik,cat,718,cczakqxxqo
-316,0.014,yxfettxnfv,675,dOG,-686,stzdqqvxtu
-0.069,47,916,cAt,-138,qykscyzzgx,qsomhegsot
fzcugnuyet,rhmkkatgxa,-913,-0.3895,-0.042,wrdqkvrfvw,aqanoafczj
jmbidhgmco,-0.183,CaT,-0.3605,CaT,-671,iiljyhtdbv
-0.268,osfngqgqse,694,-755,556,544,-0.1855
-0.405,snidirdxmf,0.088,-750,CaT,-480,0.019
-44,uaxkxnbhlf,Dog,0.0175,DOg,fowpmrejmr,-0.2635
0.2465,-0.019,0.3585,Cat,Cat,souzansaal,cat
-0.272,739,-0.228,vivnyzhiub,934,0.1385,estgjcgjmh
CaT,DoG,caT,oqmxbombso,Dog,0.227,DOG
318,dog,-179,slwugifnuw,cAT,352,0.499
0.3585,-0.0075,-636,cAt,dOg,-0.1745,wmgjjozfqi
udaiaqxzvv,0.3195,CAT,pxeckhtsax,-0.415,-0.048,798
DOg,DoG,0.092,rhthbmjgux,doG,doG,546
0.293,0.4915,-500,-0.2265,xttikceddg,CAT,zqlyxendfz
-0.331,0.302,-476,lgbfiieifu,CAT,okzleylgqg,719
-0.4825,0.4545,225,DOG,cAt,-0.4495,-299
540,tgebjndgkz,654,dOg,0.3465,0.282,-0.2565
Dog,0.1175,iflhunlrkv,DOG,cat,ihrfdcnjob,zepygtxuei
876,-0.164,gbmclpcxuj,-0.438,874,0.222,llokbouegz
805,dog,0.3275,-916,doG,nxlujzzkjk,cAT
946,-50,vzhkjljhpj,CAT,doG,-569,dog
-0.1315,865,-734,388,Cat,0.239,0.162
273,0.1795,tzgnusfddd,ycixuppprn,108,wfqvirrinp,bfyydpmvfb
-587,59,cat,342,0.2575,224,DOg
lrsuqfsuqv,wfnftfupcs,994,jmsnmnimcc,dog,-0.066,lbapvihlig
vvprwtmkfv,-639,0.1685,beviciarms,-0.3045,-0.376,sujgtdaoer
-717,vouououxhv,DoG,-0.1335,dog,-0.3805,eixvbeioec
dOG,-487,dOG,rryuxojcyv,doG,Dog,-0.0095
292,0.305,-0.114,904,ffdfglqbuk,dog,cAt
-997,joygwlrazu,-333,202,-229,-195,afevzeyidd
wgraydfcru,-905,expqjckbyx,-337,Dog,490,0.319
-0.1465,0.4425,-0.4305,pottheuokt,CaT,DOG,DOg
0.168,0.4105,yjszmarszo,-734,Cat,0.248,zplpnlujmd
-919,gkmewnqohy,189,-92,joenpmbroo,-0.394,926
qiaajhvvnw,-427,-909,-391,cAT,CaT,CaT
hoadhitsba,jezxnijkmk,-473,wkjxacuyom,-399,khfxnnqwfo,iphvditjmq
156,0.197,-0.3785,-0.1635,dOg,-15,747
-0.2305,kxwpuhuiqu,-996,-0.2895,cAt,zekoinryxc,-134
cAT,-0.4345,CAT,nyxyiiqtch,CaT,Dog,-0.0175
801,uogsujhouy,-693,gzreueztaj,DOg,-0.403,0.0725
