pET,hgnwujfxhu,dzrmsixolv,bdkgghslzj,rdrkhbbija,ykrsmyndsp,duzeafieae
-902,-0.3455,0.11,CAT,dOG,-0.253,-815
DOG,735,cAt,vamrfwrxry,383,cAt,fbfdpnrgnp
caT,cAt,306,57,-0.008,-334,313
drkcfmpypp,fydxcfvvvp,wpfwpdykif,724,-0.4,zbwliaeyoa,dozivmphog
165,357,wecjkkvrwm,-0.337,efzlcsnphv,dOg,DOG
DoG,354,-23,fpbivvigsj,vgygtjeovx,cAt,-94
0.1105,0.2295,-911,cat,dxowvrunjh,199,hmxbrjksux
127,-0.0725,-0.454,cAT,Dog,cat,DoG
cAT,cAT,sekolxonev,-0.2915,-0.0965,Cat,spnxunrgtf
cat,-681,jlbocxugjk,fpmplopkdl,DOg,-0.0805,667
DOG,eujdxcbhbu,0.414,sqbjrfswog,ifevrokgzz,-921,dog
dog,310,xvbmnzbphr,jtjayeexgq,-945,-0.1835,jhwoozxlmo
DOg,-928,sezwqboriz,0.407,dog,-0.0645,epokwkhqbc
DOG,dog,vzrfvudakv,iluzwryvcs,cAT,hikqtzpest,CAT
llzlfpnqay,xwtpjdpota,DOG,-0.034,0.313,-778,lxztxtjaew
nwilxrhcbl,jcppmvszia,-825,374,-185,-0.3415,-280
84,wluivaadsc,646,yrdxhhqrpf,-525,jdrqiuhnyo,vjwvrznwmf
CAt,-157,DOg,960,657,doG,kabmnslbyc
cat,-6,dOG,CAt,jgdaktlqxa,-0.0675,0.2585
doG,-0.065,-337,dOg,vsufwxindt,dpheosofuq,800
422,-751,ienwbtnaop,-439,cxpjpiuubk,0.122,-388
DoG,-0.129,jabecbvaeu,unzhhzezug,lfwvpkizbr,0.298,-0.2795
dOg,863,hgtrpkunib,dOg,-318,DOG,0.262
-1000,0.492,jwabfuhenm,0.4295,cpwnvpxglq,-483,0.176
Cat,716,-0.038,-814,445,-0.264,-375
cAT,khpispdoit,-0.4225,-0.4405,gwcelmeoin,-0.188,661
cAt,dog,-986,0.2735,-28,cexclfqdsm,0.0875
17,fwcqerfmnm,enzdkjlzld,-0.265,CAt,-808,DOG
-769,0.2095,-637,mjjxruagyb,DOG,dOg,ttiuqasrph
0.009,-910,-0.038,dekcvvvwxh,cAt,0.086,-397
cAt,576,cAT,CAt,138,0.271,0.2405
tcylzhfhdg,tbzalrykig,768,-0.1175,-0.176,-176,doG
CAt,0.086,432,-0.136,bodjmrbltw,582,nghlzarysa
dOg,0.139,180,auaxgfcycs,CAt,-212,yifdaiwgxf
DOG,-0.1885,dOG,-580,-594,yojbvoueqx,Cat
DOg,-0.3465,rnrjjhbgvz,rzkbszdcka,781,biapavfqvi,49
CAt,nklfbrvyxe,137,-525,-444,0.2235,hzufppbgne
dOG,-702,0.386,-831,945,tqdasqjqso,-544
cAT,-745,nddihafkof,khfqgtudro,0.4605,dOg,DOg
-208,yxmmouuqmn,wrgxyhfsez,921,efwqpbfiaq,0.193,pkvcljkrvr
dOG,0.4215,480,dorzrjabgn,-0.3265,ssngtfzlah,cat
CaT,930,177,0.469,-0.2825,cAt,lsszexmxdk
-0.254,434,qdqaxvfvts,-0.3995,-0.0705,-62,aynszwkhny
CAT,0.1035,-468,-400,-0.2395,0.0955,xupcqzbowf
DoG,jqcwcwszdx,isiqtjsakv,0.0865,gqjhtnizpt,zysidztpoq,516
dog,943,-4,uaallmuqcq,0.2965,iuzzioxeso,sydryfszim
doG,DOG,Cat,0.4605,zsbidqxofq,0.102,-0.179
cAt,ldngsqulbo,iwbtsfjwmr,491,672,-0.117,-465
CAT,-0.367,DOG,dOG,cAT,-0.155,0.246
cAt,71,-519,-0.1525,0.397,dldgwswxok,DOg
dOG,aoqwdpekjz,DOg,gcnesqxprc,-0.4715,dog,-0.02
CaT,isidyrlfoc,elryfycyjl,687,cat,doG,0.1145
844,CAT,226,sachwigbii,-0.4885,602,cAT
Cat,dog,0.118,-534,hhonnjlqvh,-0.0265,0.013
dog,vrbarwaews,qmkyjsmuuk,265,-0.29,0.003,bgezigbpbj
CAt,okxhyniupe,whebphrywa,dOg,-160,-291,CAT
CAt,-0.2625,-819,0.3115,-0.4595,0.153,-0.288
dog,syelhwvgtg,CaT,0.4425,bydamlvnki,cptgdneoch,-0.143
cAT,0.303,ieudjfgvnm,220,0.4,ckpqdqmtyz,-0.37
CAt,508,-420,uarvdiazdn,664,-140,aubiczzhay
CAt,hzooleylae,qdtupaentr,572,DOG,945,720
-0.3285,-0.2365,583,Cat,khxlyzxvpe,cwwftrbjhl,-0.306
DoG,sruacpmyfa,xeyfgsmgoe,0.449,-85,doG,qphgakrdys
cat,0.0605,cekbtwtujw,-0.445,-0.117,-0.079,-0.253
dOg,-0.0235,pfttbwkvpr,fjvphsmboy,irgbblcgwy,DOg,58
dog,-0.2965,doG,nzqcdyogst,-0.049,-0.1355,-565
caT,gxzerrbozq,xbuiagugfb,-0.205,kggztvfpaz,482,hhsnamdrds
DOg,dog,-0.0755,-0.156,-587,esrazejeba,dOG
524,744,580,-700,-0.022,-391,-0.2935
gfkqarqytd,cat,lndasgvsqp,-0.346,0.1775,-655,CaT
ompwykovih,DOG,28,-697,jyabxglwtx,753,CAT
dOG,478,746,wybbxreyrg,CaT,iftyhtpbuh,0.436
dOg,doG,iyvgmbdkni,mohsqquxjo,-0.2495,-900,175
DOg,-819,ohvcumtykl,hjqixwhzoz,0.488,kxpuvdqszj,koawsmmumi
-0.2475,395,-558,-0.251,362,voxbwwxqna,368
Cat,-708,dOG,-197,719,vskylgvhxb,0.336
DOg,-50,-0.37,946,uetgiylcml,CaT,ghfedaydxm
dOg,varatacedx,-705,799,-874,axutpsdflh,222
-873,-0.196,-0.0425,zfsbjudlmt,CaT,hlcrssxbhp,0.32
cAt,yaefaijfyi,doG,dcqgmoktkj,0.485,dog,-199
cAT,kwrmvxlrut,824,-0.17,-71,zjobwjuqyi,-0.369
0.1945,-0.496,0.0985,-0.248,0.373,-960,jvdgaprkzs
DoG,quhwngaiaz,669,-0.5,mshsbkpjat,-522,kqwfoelofv
915,0.0375,vfisblwssy,682,0.368,169,dog
421,-565,-947,wiywyejsdg,-0.4575,Cat,-581
DoG,jxnlqlsaym,878,dipquxjslv,-0.0685,920,-0.3815
-0.3325,109,-894,gtbypnjftp,0.3635,nclxmczfsw,747
