rbjdtmkyts,gimzajspnu,gmporeytdw,dscnwycofk,cqctezbbwz
748,0.4815,-666,cAt,-240
cAt,-0.432,-0.0185,0.2595,-63
vzwfdrpzcj,0.122,gcmvvhsxqa,-50,hrgpeypzde
200,jfhnwuaxps,lvknonrocx,-241,820
CaT,itbsgcunne,fahteoxmmk,CAT,-0.476
kmwczpontx,CAt,kqhpxywmms,-0.336,wrfpdibmvw
-0.0905,0.43,ykqgrknykp,-0.229,-0.143
-0.054,-788,qtbhkyerje,-0.411,85
sicfuiwwas,jhilhsgoje,0.4115,qghoruttjc,0.3975
hbalclranj,480,owbmkkonlj,-0.071,hidjzfsvzl
-0.16,0.2895,200,0.152,0.078
mtxusurdzr,0.2075,-0.024,-0.129,-0.332
rqqwfuwhof,kpomfsekui,rwegrkfwoq,tdnsfwydul,aqgrqtbvcb
caT,zwqsurfhda,-561,186,835
0.317,moiuivtyid,-436,cAT,596
202,aqrekbzonk,vvcgwtlvqd,lyhgxbmofk,spbqkfimsg
-914,841,468,qpjbyczzno,-191
-0.4185,-0.374,ghuvdxihyj,454,-0.2265
-0.3905,-984,CAt,207,0.1475
gkulqunjwy,pstratdhpl,gpilnszhog,-0.1755,0.301
290,932,CAT,ystoojiqzg,CAt
efbtvkotez,-0.2265,kxtrzhqciz,qilcmnevkx,Dog
203,jailkrytis,qnmseqtguv,-208,906
couduclqsi,0.062,385,dog,-681
ldukjxqrji,cAt,333,-521,-254
988,0.106,doG,DOg,-0.132
xphkqoumul,0.2815,0.1975,165,0.4595
kmxaxptqmo,-0.4195,dOg,-514,0.237
0.059,774,smvbnsopwu,-28,CAt
imebdfszmx,DOg,aamqqbahja,kffyjocrdj,-0.2025
-0.2575,-968,-0.222,0.1895,0.038
0.0875,0.4065,-0.4485,-0.483,-557
ycfnkvqeem,0.293,dog,-952,ajadfhlblb
ojepjfrnrr,lavksedzqx,142,0.208,qmvkfhojdx
dog,-0.0475,doG,200,-0.389
qxjilpzcil,jiigfikchk,elrykihxof,-347,imwkvrpomw
cAt,-922,nrwjchcild,-859,rotgxbfxzr
0.281,201,0.417,dyaxpxbykd,-745
-0.4745,-0.125,0.366,stlkzxxkjy,0.381
zbwqcblqqq,0.32,-0.0135,-576,0.071
DOg,cpczfrvlrp,74,323,0.1805
703,-738,Dog,0.294,vihhgsexlj
-0.0615,-652,-0.2875,cAT,0.035
ixddthloba,cat,Cat,0.102,-726
-669,ehpbpptbxj,0.2135,-0.093,-998
184,-0.315,-752,438,488
-0.4285,0.416,0.1835,-0.4175,rdcgnhvpcg
0.266,0.2695,-0.3965,885,24
0.4115,rczaaozjpq,-0.467,nxkukyprkg,0.131
547,-0.135,554,-713,0.135
jsebktbxqt,oehwukbjjm,qbfcyavpxw,517,wmscsjyjrq
CaT,0.0165,-0.0725,948,-974
fizdwydewg,0.4545,148,Dog,DoG
CAt,wblsyozpgz,koebhywwvk,eiwbpdimdo,456
0.0375,0.206,215,wzyewximwj,51
0.152,-193,cAT,-0.3365,xevrewdyas
cAt,cAT,-599,0.397,-461
-0.4195,CAT,740,DOG,dOg
caT,snmtkxeoqo,-0.0645,ibddytuqhy,-0.436
0.254,-687,-176,-159,qcgtngfqgf
0.1595,Dog,0.251,mvmwhcntsd,0.098
-0.2745,0.349,0.201,-0.3065,efnbgftxgf
-0.3665,darihuznsu,DOG,CAT,DoG
vjpitpzmng,-593,doG,zkoewiwpke,72
0.166,-396,nvgjsvweqb,-392,caT
Dog,-0.493,0.1555,fcdjcxgfnk,eaxkgyebiv
-292,861,0.255,288,DOg
571,-0.333,196,kstfiaprds,DOG
ilhwhhvnlt,igrnvixxuc,-0.294,-0.004,DOg
tkydhlxsnp,0.376,-223,0.4995,-199
-0.2125,0.087,-0.4965,0.388,-712
-0.3135,452,0.067,0.4565,914
pfvdlvbehj,0.3175,244,DoG,-0.448
-0.241,-0.1045,pizjyezrjp,DoG,-976
-0.0015,0.456,gjictuohww,CAT,-0.136
739,fgpaudoqzo,tifdnqtaao,-814,759
857,yuvqqnrddc,177,-991,-0.21
shcgatikps,386,btmewsivjz,njbjzbyyij,-0.4355
wzhzffmqup,dOg,jaddnzavui,0.295,-749
-0.0845,0.0545,jomxlgheqi,zthonsbrme,-681
-0.234,foslzjfjyp,560,412,375
dOg,-373,cAT,caT,upxtlbjevq
554,-0.293,dxpjtlyfnl,-589,zedjpvnrlb
hlmmhhkfsd,-0.184,-274,904,-553
535,106,0.2745,CaT,psmqbjxpvu
DOG,-303,CAT,-0.234,DOg
dOg,DOg,363,yovdwwnvvn,97
xzlcdqsrps,-0.287,caT,caT,asejkpxlcm
CAT,-177,gpiaqahwbu,-0.132,cat
493,lurhoendfb,-212,-912,532
echxvktbeu,vsvzlzcgce,-0.0825,-124,Cat
758,CaT,qzbcobmnam,ufabrbgoiy,ltcqczxbad
