rxrxoqicqs,hkrjixarcl,pET,fjpshdwxta,uyuhgwjzlb,snbgepqxjy,mygeaaxovy
-0.4655,-390,cAt,caT,21,-611,0.24
0.0465,-12,CaT,cat,aucleuqnfz,nrkcgkmzyk,-901
DOG,639,tkazzduzrc,75,knwsvyjsgd,cbeorumway,jdtxonszol
Dog,enbnjquemb,upybmcoeqd,631,396,CaT,0.0165
-0.1655,dOG,dOg,-0.235,0.109,-0.288,CAT
-0.16,DoG,tteateqdpr,CAT,-0.295,knlublwzqb,-557
zlcofjzlan,cAT,-0.3395,643,-666,dOG,0.3465
CAt,-123,CaT,-0.0175,717,-0.0045,0.022
rugphjnwtv,zfqesthmbg,CaT,tbrayecluv,534,-795,-0.157
0.484,-0.1635,Cat,ceymvgppts,-0.3075,0.3085,-0.387
31,qmqziovkzr,cAt,CaT,0.1345,ufggycydin,elozgncilu
toxohbmjbj,xjgeognqnd,doG,CaT,CAt,CAt,jvduqtdqyr
xunkpzwzvk,-152,CAt,-0.189,637,ogftlrawvl,0.075
lelycypbtt,923,DoG,647,0.022,-156,391
dOG,dOg,-834,pdpvgqlqmp,ylylearham,-150,xmlgdrnbmh
mbaroheewz,640,dOg,rsyiivpnly,-0.217,gvehbselag,375
fukqtiidtz,lwjcdzqvab,cAT,-0.3795,0.3365,-978,0.3155
qaksrvzkvy,-848,dOG,plgfibejmj,172,rgprionvsg,-523
CaT,ubcwxyqfkz,doG,-0.31,-16,0.4355,332
0.338,-161,DoG,0.3745,0.0745,-0.2005,10
0.34,CaT,caT,-0.154,dOG,-0.1645,drgypcnzzm
0.4015,fkbkkdwkpo,CAT,768,0.0365,0.0555,caT
kafnpuggjh,iurlyvkmwr,Dog,0.3835,90,ynvzxwrxik,lxkjrfyysy
410,165,DoG,doG,-986,0.332,-972
602,0.15,dog,DOG,-176,0.1875,-907
-0.4095,kckcugonvc,DoG,0.3145,dOG,536,-0.3695
CaT,aoakgnmpfq,dog,wnjdfwbsff,rlfpxeszgz,0.2515,-0.31
-331,cAt,dOg,888,699,573,dog
DoG,0.1185,DOG,-0.3665,vtqatsyqft,zcmzqmavzn,0.4495
0.3725,dog,cAt,0.091,-0.0875,0.4605,-473
dog,DoG,fzticvzxfo,0.0495,oqmgpohfgu,izcuiwskee,0.4805
fgmqrljjnv,eyebqlsznd,DOg,jftqivssjz,-0.079,253,-0.4925
-0.2865,622,ikfudtgelw,qhcteqpyew,ugnghnnkjg,-312,-239
593,cxouxcijcf,cat,nmqdtwuckp,157,-839,Dog
-0.0205,cAt,CAt,doG,514,cAT,-0.354
agsvvalvlh,nxfwycybck,cAT,vbqymxboan,wqumfjktad,netwnkumxs,xtgiunddis
0.1105,fpltexqmtu,CAT,CaT,ifswztexcf,wnuzckptmq,-0.413
pewpboigsd,-829,285,-0.0965,0.3335,-0.2995,0.008
dog,693,cAT,601,-279,oafiumwjgi,88
-258,qrtxculwov,cAT,DOg,ialfguzlps,-0.103,jgyhzynows
plvxnzdgmk,bhgeqmbuvw,DoG,fjjqcefdap,jxnavwapna,0.274,211
CaT,0.273,-0.339,ptylihvmub,cAT,esuymqfcvx,-0.152
0.045,-0.282,cAT,-0.341,puucgtungu,iwbwhytcre,0.159
-0.0575,887,cAt,luuvignldu,imnogbuzip,-0.113,thufnfocao
195,CaT,dog,CaT,hsvshriwoe,caT,-0.24
-0.383,cAt,DOg,-0.3705,435,0.144,DOG
CaT,Dog,dOG,482,jzqpcyfadt,DOg,991
-0.0995,-532,doG,-1000,Cat,-606,dljkdtxsgz
0.123,0.172,-0.1385,-0.386,caT,229,0.234
0.386,0.099,Dog,0.236,0.2155,lbsrzlfwmj,-0.097
728,243,-0.466,-670,-506,-0.172,uqsgkbypqh
786,-502,-758,-753,-0.1845,cAt,-512
337,dOG,432,CAt,gviyxhoswf,ciltcdpulh,fjbmsydhrw
-413,cAT,cAT,-313,Cat,dOG,0.3025
550,kwuzgvvwky,doG,948,-0.0475,kibqjbchwo,caT
0.4045,dOG,Dog,-962,0.3255,cAT,CAt
uwyjpeiozr,doG,cAt,oorzfdfpnn,-0.2905,0.401,cAT
okodzkumnp,cat,CAT,mqhavqwdle,xobfcifvre,-0.116,jjhqslmtce
CAt,doG,cAT,-994,vznvzfejqm,0.132,785
CaT,0.0925,CAT,0.3415,187,cat,398
