ycpjuwxffg,ckhvtdfdtr,exxtnaoezu
0.47,-934,-866
rjkucukmqt,-222,lyxvfauchk
-0.143,cAt,cmhwlkbaiu
0.2105,910,-0.006
-0.04,askfjltvix,-0.2665
-0.0065,tdpbzlldfu,478
-0.047,-0.435,sqtgcmmzoh
42,861,-185
ggxkkgdasd,bnsiwngyeq,xqihjewiko
dog,dsrowzxbuk,mcqwrrkgzq
-0.1845,0.2605,fwvyqtpevk
expntppyxu,0.273,ppunktntqt
rgyjwtipfg,-379,rmquvqxbwy
0.132,vidawweida,dOG
omtszmbqbs,-817,ovhuztnnya
rfmzbjizxu,DOG,0.423
dog,DOG,620
-277,0.459,drujpbfxzc
ucagepikml,-0.1475,unjnalrqja
-0.297,-86,jehcayazpm
393,irxesshsct,0.42
-0.097,-0.4275,915
ytvdhkopen,-0.1285,0.14
652,ddtzmaprml,-0.224
944,0.4675,ydemevvexi
zkhmloiwch,-88,nwmlngxslf
cat,-0.1345,0.419
kpbxrucmlw,127,jzqipnqvoq
CAt,-0.3385,dylpdvlhle
dwchthaixt,ygvhkrulav,-905
0.0665,0.4215,-284
0.102,DOG,txkhlppvvg
-0.136,vxourfvqfa,434
vnvaxwinlr,caT,sltaoxiwux
0.2405,-81,404
jkuxbejzjo,CAt,CAT
-0.4885,-0.1305,0.2735
fiwaplgejq,0.4855,DOg
dog,kwrgigdxvo,0.257
yvihjbvdts,0.085,-0.224
0.4305,mcnjrpdjcn,677
zeinstcwsh,-694,0.1135
0.485,vefztitafu,kaxjhnoirx
43,-0.266,-0.441
943,-588,124
199,0.3195,dpivsbhnxw
CaT,-0.1915,klwrdbosgy
ymxesilfit,0.206,dgpmiyhztv
gwjcoayqnt,ktcpjhzzqf,0.037
-497,977,jxmjhlfnrt
-0.2535,-978,cAt
0.259,bjeijamtdf,uncgzlpuar
505,0.311,894
-0.2795,0.2925,-946
283,-716,-0.239
qxxxofornx,-0.2995,0.3765
0.044,-0.1375,0.098
zgbpswoxgk,0.4115,-341
0.084,CAt,cAt
0.1995,-0.2575,-331
