spapdxjknl,ixfaglgorg,nhddhxlicq,jcqduabbcb
cAT,-0.305,-0.0795,atumiwvgtq
eswjciphac,duglqxowzg,0.3345,icctasfffq
sqnvehqtfc,Dog,dymjqgqpwa,-0.2405
-0.2175,Cat,-0.14,-50
0.4575,oaliqtushs,fuldbbcghv,dOG
0.157,0.2875,CAT,-0.1695
niaolfoket,-240,-0.124,Dog
-266,ozoqntzlvz,mmxodlyocy,qfxcaglvur
-37,753,0.253,-0.1895
522,487,pshbpjoqvt,-0.491
479,-875,cAT,407
CAt,750,-0.307,0.0325
0.3495,caT,fkfrxyjsgk,zvgadondcg
212,oeajhyuewt,-0.3395,-928
-109,ngjfiasnps,143,dOG
-0.118,dOg,caT,jpdirknnad
DOg,0.2935,-0.0345,mkutbrvjjg
0.477,caT,dhfefyvuyl,0.429
-0.3665,225,xozotchrol,jqcrkhmpyv
-0.055,CaT,thqucubtvq,-138
yalxvsllea,yyocyybwml,0.0745,ydyflxjact
