awhnssmjwf,arxjcvfsqq,oastufflyu,ezvsqvtuvc,dioqajeojc
qtnfoxjowl,gpxobzwncn,0.182,0.2515,doG
epkurxuihh,25,cAT,-0.0495,hiogphljub
-0.3055,-0.1675,DOG,592,srxsujexpa
-0.4445,cAT,snucpzbnmj,-767,xculczlszp
abirffhase,mczzawxjfo,Cat,dog,qrmctenhoa
-0.3995,ilwelfqgxk,-0.017,0.4485,okduxexcrd
-0.3445,CaT,rcdqwzvvmq,0.0235,doG
482,dknxbnxooi,-462,-0.05,avjafbgqqk
137,vtfcaeuxev,0.114,-0.355,-0.1005
-213,-429,-0.0475,unvsuikaug,cAT
0.232,DOG,0.1425,-623,0.2735
-0.0285,0.34,-0.267,0.095,-308
khbajfwvgw,-0.082,-508,0.405,ojlymueeeq
0.282,-338,296,dsuwwvnnbo,dgqvetvtqm
-0.0455,apiipfkymq,-72,649,etsbzzfnps
266,DOG,0.188,0.4965,yyjiytdjmd
vigfruwqjm,Dog,-0.143,-393,307
-44,ozhxzrizzt,Cat,qfltdmrfgr,-0.1265
-0.338,wzuiacwfow,ajpsepduhc,0.4905,-0.2235
dog,-0.069,-349,xiywhcyyaa,0.4955
-673,0.233,CaT,-0.2325,0.33
-903,-0.075,512,641,-0.487
xovpztxhvl,bqohqhffix,763,DoG,zbaeljpzrq
0.2615,zeoquphufy,frytybfwej,DOg,441
1000,-0.422,ovsrfcinqc,vymbhgiqyu,hsjuuhqohz
0.403,cfxwafnfaw,dog,-211,973
eabfxajfwk,-0.102,-461,-0.0185,cat
0.2345,-0.0295,142,0.003,-974
-0.1465,-996,seoijbepgk,-252,0.1425
cAt,jozzuzdbtp,DoG,791,352
-585,doG,lsjpswalvy,gbcsexjzkp,0.402
nlqkzjtgnw,rendijmjat,CaT,0.0505,0.208
gwivjledqo,dtiwedwfnu,CAt,ofsohhzhqi,-837
-873,-0.0315,0.403,cqqarjeuen,dOG
781,726,dyjicislmk,Cat,pftzhjzueu
cnkqzzofnu,176,-733,846,-0.0665
-0.0615,wqtgqxpzno,263,-608,fkynjptqst
ogcbactbhw,0.4005,270,0.419,hdfvwossdd
602,-0.1295,-59,CAt,DoG
-0.021,qlpqdphaqq,-390,DOG,yymbzgmnnm
-996,802,doG,283,575
bomjvvxtrh,doG,CAt,-862,cat
bwieuhgien,rspixcwuwm,-928,-0.378,CAT
caT,pjhqraxjks,jmlylgwvtc,-410,-0.1725
DoG,0.492,cat,DOg,-0.3965
-996,-241,CAt,-402,-271
-771,yimdzqemjn,cAT,Cat,lorqcqmguo
DOg,-345,305,632,0.127
850,caT,-916,-0.4225,wwwpaamvhr
0.3495,471,-790,hlufqvzovu,-858
403,cAt,CAt,0.4685,jqwxbcpjer
-342,olpnmxeujz,afiwgxvnbp,cAT,ksbdjmaqzd
nbeiyflqjd,-0.0475,-0.489,-919,amttnbdfcw
293,895,-655,lnglfzkpka,mklhwnzikq
0.051,zducmrwape,0.1415,875,-0.1865
0.2695,aduiqokhep,oonvveptte,0.198,CAt
pjpfibenah,-497,-0.3855,gsfrienygt,-0.3995
poximuhflf,929,wcjpoxnzrb,-517,zaoqymrwkd
444,-156,caT,cAT,caT
-599,kjqkuqturr,ulbjjbizzy,stburlsnyx,0.083
-0.007,iuwtwhgdeh,0.446,lxwngsvuns,-610
cAT,0.241,0.069,gxydjgyuyi,0.3695
-902,0.082,-660,-0.4575,0.363
iblwquflim,-299,-0.05,-0.117,jacghiapsb
-111,857,-0.1135,zesxyxqall,qovtwdsmgc
907,CaT,0.2465,-214,dog
0.2415,-473,kzdaeqoqwj,755,oadhykloeu
lwlboxoqvs,-186,156,0.284,pgoivetvhl
CaT,-742,pkkrncrnhq,xsohxskfld,doG
-553,-0.0205,slmvysupde,CAt,-0.3805
-546,76,yeqfnzrlzg,28,-114
xxijdotgkx,-923,smfyfscwsn,461,0.0625
0.2455,867,beeqbelqtn,xjxixaokgj,0.447
-160,-0.273,521,CaT,0.383
-0.453,DOg,cAt,CAT,-0.066
-634,472,-0.4495,kcckyvaott,CaT
-0.3325,0.3615,0.1995,cAT,htjmpxotca
-0.3275,lgczkqwnen,0.1475,438,thilpbrrux
znpdljlzqi,bdyopmaqxx,-857,-795,0.319
