pgciqedtqk,gmixlnhqbs,peT
dnnxltmghc,jqpmeuzvmi,CAt
DOG,93,0.49
qcrcmprrhl,Cat,DOg
zrhxqksxof,162,cAT
-0.0355,DOg,-0.1655
DOG,0.1195,CaT
DOg,-0.0705,dfsdmcosiv
6,-399,Dog
-0.3815,0.169,mxxofrubkj
458,-0.158,vxxaledjfe
DOg,yvylygijfw,wpzcyqwgof
CaT,0.267,caT
dqivppqjtt,-0.3095,Dog
uxflmxozum,dOg,jwpxoxngyu
gmtpvdwzxb,bfswoovctp,dOg
0.0205,0.0,dOG
gtqsvmnypb,0.123,Cat
-64,DOG,-0.1335
DOG,iscwtagvcf,0.2735
0.1155,0.354,DoG
-988,-817,cAT
cAT,DOg,Cat
-0.477,spplxoxfhr,cAT
cAT,gzkupeknfj,cat
ymnnzwudvw,928,cAt
htidpheayh,0.4435,DOG
caT,-0.429,DoG
-43,xjyximsjxq,cAT
jmwroigdrx,-103,-0.0075
DOg,CAt,Dog
-0.049,xqxdaaxwqd,DoG
0.07,599,Dog
tagxjknlha,yyjlshveby,-131
Cat,-227,-569
-0.377,-242,wrscquwbqm
icdovspcwu,-0.3655,CaT
-191,qapnzbdyex,cAT
638,DOG,DoG
zmlrofevqv,DOG,161
doG,vijgtofytj,jbxicahwur
0.4755,qrsjlsqqog,caT
-0.487,ewbjotzwuq,caT
Cat,pwulpvqgns,caT
-705,0.333,-580
-0.0865,119,dOG
-0.356,jbpunmyzfj,caT
xcbygrushb,dOG,DOG
26,892,DoG
DoG,979,xbdrhazojr
587,zjgakfqxdq,-426
-0.2705,mfrtvkqlbl,iwwukgpnzl
975,-0.113,CAT
0.2645,-572,dog
-0.5,-444,dog
0.4225,0.0785,CAt
cat,cat,dog
-0.214,nlvfngufbb,cAt
drvhilouax,-0.3385,0.3475
CaT,-0.098,dog
otmngbzams,txuxudywld,dOG
cAT,xtyaijcxom,DOG
-0.37,cAt,Dog
syinrpkxml,169,-0.298
