wpbjveoqzg,mtfxysftcd,fhpbymkgey
hauwkxhrax,fmltaduiin,-518
emlmktesht,fweogzjcel,ihbzqaxhta
mmrlpvafyg,DOg,0.3605
gwqpvynhut,odxqfypjwf,hmajnansiq
fxrontwftl,-222,DOG
cat,-0.02,seeyezaoru
674,0.3065,getpqcoqow
DOG,hfsoracxuq,0.1365
bztwyinvoo,-0.337,934
hgbocwwpvn,-82,cat
ljiikikphw,-0.2535,DOG
-0.082,28,dOg
-0.268,npqozagsuf,-829
-805,864,92
356,342,940
jlzjjbrdil,-0.198,-226
qcgwxamvay,0.4105,0.1855
190,-0.4115,-811
451,cAT,CAT
-867,jefndqbeft,0.0805
ztgijczjzw,977,-428
0.2085,0.2365,DOG
-198,0.4225,abniybotoa
699,807,dfcotlmnbp
-749,sslnkqlurs,-0.4855
494,cgdxmowoxk,fpsfknheye
CAT,Dog,zzjswnnivd
esmdklffwo,-0.071,pkqftwdyiz
Dog,Cat,dOG
-192,-0.3285,-0.1095
CAT,CAT,-143
-0.1355,jgwretshwe,doG
wuiyniagfo,0.344,927
0.1855,196,992
-124,cAt,0.0875
-0.4275,-109,ionurokjoe
0.176,229,0.39
qgizftkmks,xitjodaevf,CaT
-0.102,DOG,990
Cat,-475,-0.1805
-0.2355,524,-0.233
0.3825,cAT,-790
763,dOg,581
465,DoG,-0.0625
CAt,gtarynynbd,presbyaoar
cat,cat,76
-919,qjsneqvbua,caT
-88,-309,sdbllohidv
awdgdmzdyu,ldqlrnvbni,0.24
-0.449,flrfufrjti,-0.4135
0.249,vhswjagnvs,-130
77,-0.203,CAT
114,279,CaT
-0.1035,-945,0.2595
-0.2305,ztzynepvmy,-512
gtmgvyayxr,qgnfxfibzc,-0.379
cat,doG,0.053
weatmjwtal,vtxshkjomy,-10
739,0.1235,56
-0.069,-0.4775,-55
govzczioqg,-0.196,zpuiofowvy
Cat,0.4395,-0.3025
zajkfoenky,qnqzcwvbti,dpjirdptpn
doG,-897,528
