lszbmqwcay,rwpowbfayn,lzzasvctcq,dflhdvrsqb,ofavlcjpio,jgecuxpatr
-0.0135,-241,xghyldawnv,88,cat,lclhxvzpwt
0.4005,DoG,uefvxflhfr,ezconqiyhb,0.3605,nslfiomidr
972,133,CAt,dOG,jwceuabtnw,-0.072
bjulkdkkym,-0.42,-0.3475,-934,zmwyrqvoqq,-0.3015
-0.14,hdbzexrfce,oxcjgzygqm,-0.1455,cAT,832
0.0825,550,-619,-0.1685,kdfxiqsdcm,787
-0.0395,ybrugwousy,254,cytgxyalmf,954,-617
-497,sriphgqrdu,973,svimuxkrvf,DOG,-0.2205
856,DoG,ubmuqqnnbj,-827,-0.3045,-509
0.003,imvfxztntv,-0.0065,avvsxvzeon,315,466
DOg,-0.1315,-0.263,mjtvlutcku,cat,zxywjylbwc
0.316,-0.3085,Dog,-251,-0.0765,-996
0.379,-38,adkrawvdpe,0.424,-0.3285,-19
bovupbjtfb,DOg,219,328,0.097,lqkvclbyiv
uiueyxbiyc,-915,-0.1225,dog,-0.3045,CaT
caT,rfjctiusdc,rbkkrpgvzv,0.1215,CAt,cat
pqcgdmsuzm,-0.1505,hebohpgzvg,yvvzozfkyz,CAt,wgemedicli
xpgwkgpdbp,sjgmjacoma,-0.211,-821,lqyrbdiafx,-330
-11,495,Cat,562,0.411,284
-0.3785,258,smmdbhwrtp,uoglztxwrs,939,-943
cAT,565,ssexqdlklh,yvohdfzbkf,180,172
