vhpxuahwhk,mzavbrrmma,vmvueeeokj,PEt
tqrohjrfbn,0.424,748,dOg
-0.132,0.3505,-748,72
vrjrlwjcfh,-0.061,piyuvseyqm,-619
227,-0.385,rfqwmbmilz,Dog
441,638,nnybccucpf,DOg
zkhxeelqjt,259,owzvpntlyp,cat
-832,nwlymdrnzk,ijbcyfnyfq,CAt
-428,-458,0.2695,DOg
-0.452,-0.2985,-0.1345,CAt
endbkykska,dOG,299,cAT
0.367,-0.299,-0.1105,CAT
qipfqqsxfv,nwgzipklkp,-1,gmhegosktz
-0.034,Cat,-0.2075,cAT
855,cAT,0.045,uwfcoajbhi
574,368,828,425
-748,850,fsilbdpfpg,dog
134,-0.179,dOG,DoG
hjkkfpvolf,-0.0955,Dog,638
jrxuuzuxka,0.3645,-825,DoG
0.118,731,caT,871
hqtoumeryy,kkrzszivfx,-0.2845,Dog
-0.073,tekryubynj,tuavrxzthq,DOg
952,cywtwdpwew,0.23,xbyiypplmm
0.364,dog,tzbossvvqa,cat
-464,hdszcdmelw,jrlmolkngv,caT
fpuoncjwqs,0.2055,0.193,dog
0.039,-0.175,-0.262,0.36
0.049,dOg,-161,-0.2045
-377,cat,0.2795,CaT
ycptaoggnk,caT,hdghsulbkh,CAt
193,-0.3495,-0.143,dog
dOG,Cat,0.3055,Dog
-0.258,-52,cAT,zpfjwlsbgs
Cat,-0.1345,-0.1295,0.2425
ggwlxuugtt,365,0.0365,523
bsgzlwzise,caT,-924,cAt
442,-856,572,CaT
rcurznfrrh,293,0.247,CaT
-0.3845,-927,0.3405,dog
0.0165,ezkrptetba,zicumnhvky,174
caT,axzdvxmjnb,44,cAt
-785,0.3065,-0.4775,-7
dOg,jkwuabfbuf,0.075,Dog
