tuxiueclvi,lwgjcesiye,lbplhzlwbo,yraatdkrwy,cqknoeryzr,lkfkiwotmk,lwgtmayoow
-0.391,-758,CAT,-0.3215,ceuiqkfnwl,zzmkpsgfof,0.2755
myrwrxtupa,Dog,dOg,iltsboyxnb,lymaudcnkl,wdnlxbnpug,szdygikyqn
856,696,0.2595,DOg,-0.314,cat,jxofkymktf
0.1255,twbgpxgvqw,0.082,0.3435,ahrzmbjcyu,-69,dcvlsvtask
ojalpzgpib,-0.0135,hptdsqncob,-388,0.452,-0.3195,CAt
339,dOG,0.4465,0.2825,0.355,-402,CaT
noralggpnx,0.1325,-391,-0.0345,dog,cat,-542
-0.3765,-175,cAT,zeekzdljrs,gvknntpbbj,0.0525,0.1375
bgbccajplf,-770,471,-680,DOG,ewgehhtmot,118
-0.013,206,0.208,-0.047,dspngwlese,jtomyzxzgv,qqzwpcxslv
-0.2635,-688,-0.286,isojyvywuv,-100,-208,ymtgrzsgtc
0.0365,-0.3115,-0.1515,hmhavikrgn,61,-168,dOg
jypkjmpqdc,0.499,caT,872,-431,13,difequxewp
-121,qjxqeigqdp,dytlhbppvg,638,-0.1195,-0.065,awdhfucuhg
qipapzsogl,bbkhqvxsmj,-0.222,503,-0.45,zwibmwhztp,cAt
gowuxxrjkc,0.2985,axejvrfytu,-6,ccgjsatohn,833,0.4215
cmffegamwm,0.115,0.1165,-142,kyufwhkqxf,dmbtcnusws,0.053
-461,ulvkdahkqo,-228,984,vpxyrzrlwm,-167,Dog
0.0455,ypalyvktjf,pmejynsjdd,-265,0.057,-0.4895,0.069
602,ohfxaflhke,-0.0765,710,dOG,fmdcqjxluh,116
-0.1295,-532,-0.3535,0.4315,0.303,qftqckcisj,438
0.0615,jiwgijrtwh,aeqjgwwykq,tftlgisbll,revlemykdf,vqkxuiuzkr,-0.376
-0.3755,dOg,0.3935,rpezltaxyx,-0.145,0.0525,dog
tawxnbsbul,-669,-628,-0.4505,34,0.066,yrmjehdfvj
-910,hjcfydymuq,-220,-712,603,-0.4625,531
-0.4275,selbhexqbr,caT,nsplozgaby,0.2955,-0.1115,DOg
