PEt,terwnxgbru,wtsjrfackj
Dog,ocujsjdmpq,0.2165
cat,mmcfbsqfku,504
dOG,dog,346
598,539,-0.268
dog,-236,dpwwqfjjjg
CaT,-721,bfgudwnqpz
Dog,0.3485,-551
290,-0.3005,tirxrwkdld
cAT,0.07,0.1265
dOg,Dog,lbsdrafqsy
cbuqaxgegn,768,-0.179
cAt,-299,DOg
-387,caT,jfeuxvfnms
dOG,xumzrrkwzj,-0.412
0.068,0.44,824
DOg,cfvxghatye,44
xqmdbodeos,DOG,Dog
DOG,hetwdwymmw,dOg
cAt,-924,-681
cAT,djtlgnvjto,-0.104
dOg,yypwojvxbz,bplagyofue
dOG,fyeuvwoekk,DoG
CaT,cAT,fxcglxywxw
Dog,izckdklqgi,midritlftw
doG,ronhyadkrx,ihqtfiuucv
DOg,cat,0.3825
CAt,xqmujbtzhi,CAt
sscqtnjqol,rlmzmgvfht,tjfgjspwai
-0.202,143,qlbabbctoh
cat,0.2455,pfsjweeshc
dOG,doG,-0.086
DoG,-441,-231
hossjbanyv,CAT,jkcbvqxklu
DOG,-492,0.2345
DOG,DoG,649
ewxtopmojk,-0.034,0.1535
ijbhojywtl,DoG,-400
ozabxkdjip,bbnhnacbhk,847
Cat,kriuoiojry,mtfbteksty
Dog,mdcxsetpvo,-0.2375
DoG,0.411,801
xlvohtnytu,dOG,urhhdqjuob
DOG,-386,-0.054
dOG,-975,739
dOg,kkcpuljmol,eyqnylayif
0.425,fegnjdakco,0.0135
-340,watczjszsr,0.1155
CAT,958,DOg
cAT,mowhsshjti,dOG
dOG,736,mqsjgcirne
0.311,-321,-0.4005
dOG,-996,bpdvlxikdq
DOg,cAt,447
7,rrfjkimhqm,zjnbymksdk
cAt,Cat,yteyluwogu
cAT,782,iuyonryewz
doG,znyflsomml,mohmfpnkih
dwgvwkqizl,0.0675,279
dOg,Dog,0.31
dOG,-0.327,-0.0545
CAt,-565,cat
DoG,-537,453
CaT,-731,-671
symwveobfx,-0.3455,zztwltzxpj
cAT,276,yjqgnlxohx
onqihienfu,0.483,ipizagpnnz
Dog,-609,Dog
Dog,cqaftagfzp,0.12
CAt,-162,doG
caT,uepwenzgjk,705
cAt,-0.4255,-910
Cat,633,vuyoqwyoug
DOG,DOG,Dog
-0.326,Cat,qawkehcmkr
0.155,cAt,0.212
Cat,sdzrsdplxs,-0.2545
DoG,lgnftgjztk,-171
Cat,0.3495,cAT
wsusnuugbd,hjyrcglyru,-667
DOg,seyshudmqa,doG
dOG,blbtpttvqv,caT
doG,DOG,0.3685
caT,308,xsssmavlwn
0.4135,0.335,mgsjtabrtl
DoG,wjbetjybbr,-547
cAt,0.416,-0.096
DOg,DOg,741
gkayswgygo,-277,cnqrlocknc
Dog,weukrihaqi,dog
doG,0.353,-365
Cat,plltxbjtde,-515
0.205,0.1275,qbdaawlwce
dOG,-0.257,0.451
dog,928,jojhsqavkk
cat,yyapykojmn,cAT
cAT,-0.113,-921
DOg,962,0.2975
cAT,-524,CAT
doG,756,-0.258
