szetwuphoa,jsfcmqzinp,awmhhrvidw,fuwmztxsig,pET,kgvgptywkw
339,0.3785,237,0.0925,CAt,0.376
-148,691,-0.4035,DOg,dog,-0.46
-0.27,195,xeqarabioh,0.0645,Cat,ildrmjcsxc
450,dsaeuebchf,0.491,-554,DOg,0.063
DOG,0.385,DoG,CAT,cAT,0.1005
cAt,-0.0285,uhtmcllcqr,dog,dOG,babrtzvljh
605,-0.3025,-293,-738,tunzenkbuy,0.2515
zgsjfzsmrw,wisihojdnx,0.234,jncgsfzpfk,caT,-968
0.4575,0.1035,0.011,cnkejlloal,Cat,bynqtvbyfk
444,-0.383,xzuxuvyrrr,fuwhpsnsuk,Cat,377
0.4825,-0.4955,kjfzuwzqcj,lsoflicchf,cAt,796
cAT,-0.4395,-0.432,-0.256,dOg,dbdgormyes
-0.306,wvwkcevcrb,ubensxydqc,CAT,-127,-0.2885
0.205,-0.408,0.211,-432,cAT,CaT
CAt,doG,dog,-165,-226,dOG
dOg,706,-347,98,-937,0.297
-98,seyblpajur,ovokhlzqxa,0.14,-0.2085,gbkovoqnuh
-931,349,DoG,evdswckfth,CAT,-664
0.438,895,CaT,-0.1885,cAt,138
0.4885,0.038,CaT,156,dOg,cat
cAt,469,20,dcgcxthbds,cAt,-435
772,58,blpmlbfhfr,-987,caT,aukatiwoej
nzddckrmzr,jmqatwvogm,vwvhsnyhmv,nxrqbkcuor,CAT,-982
-301,DOG,-0.3905,cAt,DOG,dOG
602,qqynsqdfbk,0.2645,ywbosqcqda,doG,CaT
uehodwnxbd,jckvknymdg,-0.2005,-403,cAt,-0.4805
dOG,708,skkvlvxijj,dOg,CAT,32
-641,23,-259,ssxudxrhmd,DoG,-32
0.205,dqhjxawnge,cAT,utbtnepntn,631,-391
dOg,uwvrtvvurv,xcomarfepg,CaT,bwwjidmoot,doG
-0.061,cat,299,-682,0.23,dOg
577,wjywvmurzw,-414,-0.378,doG,geuzdxnthj
