yrojryjswj,pET,zstjywogwd,pmwtwjeuhk,pxdxjnehgd,snnzaaoulq
cAT,dog,ftazebfjhy,0.446,qaflwqxxbo,-0.46
-805,CAt,639,cjjyptolam,217,-0.4505
aunnvginer,caT,vnvvmaivbt,kutlrntavi,-0.0615,CaT
0.278,doG,Dog,-0.44,428,-0.3085
0.118,CaT,636,-890,temyfbmogx,lnbfniltfu
-0.291,cat,xvltfbggvv,0.225,foqbyylcmy,ckdmmmasek
0.458,cAT,-487,679,55,agnxfhylcs
-879,cAT,dOG,-144,-0.1855,gvdpnvxots
602,0.375,kdbhlwstgd,xwxngjmamx,xjinishgru,-0.167
gfjspnoyny,dog,dOG,kahqifotet,782,dOg
0.061,doG,dog,theyqakzhx,dog,0.1555
waiohrpjnh,-746,Cat,jwjautkkav,-357,-0.39
745,hynswpinnc,-483,-0.358,-0.4355,299
wdqlzgbrbo,uigbsbxzlt,maffbvvvls,-0.4045,eqmrdmcamv,-0.2055
-0.4015,CaT,-0.012,-24,rghfjnjlaz,xpcknfjffp
cat,cAT,-793,ivvulayvad,619,0.479
-431,DOG,dOg,DOg,0.349,611
-0.4645,DOG,-0.4635,-169,Cat,0.4765
0.4465,yhtotfzieb,mfckmpkiqu,xqajlcuhqr,0.187,-0.1575
-831,caT,0.0295,0.0295,185,dOG
-155,CaT,-728,jfypebszqv,keqkijzuwn,-696
-0.129,caT,494,977,DoG,994
Cat,DoG,-0.469,0.1,liinqrqqdl,-926
lwqnjiswwy,dOg,-0.0055,0.114,-326,aogdvgvhbg
0.293,Dog,-180,royuxjvwpt,-0.16,-523
-319,cAt,dOg,ytghuvcocd,0.124,-0.004
DOG,0.0385,cAT,-447,caT,ponkwkqljq
bgkhkteqwz,dog,231,0.454,ldqdpxkyeu,-713
317,-0.123,ltlxzzfntz,vraoiypxyr,-667,epaagyxyvq
934,Dog,148,Cat,-334,-0.2645
kctsjntoht,dog,mhnfucxkns,156,-0.4715,cAt
hktcanfuri,cAt,tawfhltjab,CAt,DoG,0.085
-225,dog,wdmqdmpdzw,-231,752,caT
-826,cAT,lkgkatnbbp,rqmedwljnk,-0.0345,DoG
-253,0.369,-135,744,-0.207,dOg
CAT,cat,-978,axgobhaqye,xccycdgrmp,doG
rdejfeeevh,cAt,-721,583,82,bujdiixzjn
0.1675,CAT,sibzdeiymo,flwnloccrm,0.1,-0.266
0.1865,caT,yhbaqkhclb,nkjmolmmkw,dog,jqstytgzjt
-765,cAT,-262,0.3075,Dog,-661
-899,dOg,-0.4405,-549,opqzowqaub,0.374
130,770,899,46,0.263,hkenmitbyd
ogiqsyuqjh,caT,0.2375,zirrmttujs,kjjaxemiaq,CaT
-156,jmhfnvvkcw,66,CAT,439,CAT
-0.3445,CAT,-0.2925,cAT,-0.2095,gfuoyygcik
