caskcwhsaa,PeT,bdccpcvtlw
-0.261,cat,uhgtovbayt
0.036,dOG,354
-0.0665,caT,-0.318
198,dOG,CaT
-0.2565,cat,edawqzhpoz
cAT,dog,ahtndbykfl
-0.442,cAT,0.054
553,DOg,0.196
-810,dog,blfjawzaae
hcdbzzqmap,0.0475,gvmtxxuhlg
doG,DOg,0.0435
57,jnwigpcrum,CAt
cAT,CAT,258
588,inmcduhzzk,-32
iqmwqxvrlx,scohdmaewn,cat
-0.139,DOG,cblyhdmuyb
-401,-695,Dog
347,ytgydstbuz,952
omxzyxbfru,CaT,-513
gwmijdfikj,doG,fwxtossbgj
-0.03,DoG,fdbzqyxspp
gkyvvthdfa,DoG,nqqpqdksuu
198,mhujgfopzp,kgwpqgmqek
258,-0.4895,-0.152
431,-392,DoG
cjiadbazkg,CaT,ulzbgvjolo
-0.092,CAt,733
CaT,yvfpfpguon,coguqeiiee
0.486,-248,-796
-0.4955,cAT,pyxcniyihb
-436,caT,dOG
-128,847,dOg
-130,Dog,-98
0.301,Cat,402
-0.418,cAT,doG
fhbqtmvnrs,0.16,DOG
-0.2985,Dog,172
dzpmzoygnu,-856,827
-148,doG,CaT
tlcoyioxcx,Dog,-792
-0.2675,kznlqwquwm,-498
fifvhlneop,Dog,-0.0265
CaT,CAt,tjmetwcmql
-107,-0.449,DOg
basteormbn,Cat,548
0.158,Dog,bbdwahxsmm
-255,0.243,rkauggrxew
0.3385,doG,-128
619,dog,cAT
-694,qxmepfrvjf,-0.358
-235,175,0.37
hppkpgzmzd,cAT,0.385
vmpttsgogy,Cat,kjyytwosjt
-0.253,cAT,cAT
-0.4205,cat,-0.2595
moblstxknp,cat,455
ztyifxfnoa,caT,DOG
dog,caT,0.3425
0.0355,DOG,cAt
znwljsmzpv,913,0.2065
-745,azbwpiiicz,-0.479
efbperdaab,227,-317
-0.3225,cAt,0.3445
vxphpjrnbu,CAT,-0.2265
-277,0.4765,-681
-227,DoG,-0.038
mbgkifzgqz,0.194,-124
0.37,DOG,uftkzxcpad
0.0605,DOg,-442
79,-122,721
0.0515,dOg,-257
pdnxyekdlr,cat,974
-0.452,cat,-561
-392,DoG,-831
dOG,DOG,blftfwvbei
910,dog,-428
kgceabguvg,auyyeyffgg,ypvohnapvv
aberszyvwj,dOG,fscdnfkhyq
-20,630,cat
ekyfxbgzao,-0.3545,CaT
Dog,DOG,657
602,CAT,-654
-0.4115,CAt,-0.419
DoG,cAt,xtchatphxh
aifhrzltfi,DOg,966
vwjpvgmvrr,cAT,-958
-0.158,cat,pxbbonydod
0.308,albprjezrh,gskeywewew
0.213,-0.1315,aqqywkkzxn
ycqifaeiex,cAT,jfoyiylqov
-0.2185,doG,0.4855
-0.0545,DOg,-0.363
