anhxrrxwgf,kcmjbltpnu,jjrombugcn,gdufpgtvdx
-0.2925,bcilscnsnx,DOg,DoG
734,-430,454,mkgaanuzzx
-53,-966,vqfxbhikpv,ffauxbzzag
-303,fzpxhacwss,zrstoswtnb,0.0405
-0.148,cat,Cat,CaT
fwldbenknt,CaT,0.0545,0.493
-630,-0.0125,dog,-956
628,-0.1505,0.468,0.4765
908,446,0.176,-0.2105
doG,hyjiyleppk,-849,286
wrfwsomyls,-2,0.1955,-0.3935
-0.44,-0.0625,llrniyalyq,dwmqcrgdcm
0.421,-342,-0.169,-812
-0.4935,585,obkdiypcpo,0.3685
CAt,gjfkswclke,kubeiywzte,zpcnexkqzc
dOG,kegekqxgth,-0.4965,0.235
doG,-275,-588,dzbtzjyydx
cqmmurxwvp,nxekhpzmow,eggeehmlow,-602
DoG,dylygqbdpr,abvgfhvabt,-373
caT,-656,-0.1825,-0.127
DOG,0.429,0.3825,-0.128
zpflzlkhwd,DOg,kpjyacwazm,740
dOG,0.194,-394,461
-0.098,350,cat,0.0865
825,oxqgavnhlz,-0.01,0.318
DOG,lidhdemwbf,qsnourtdhb,241
-415,729,-338,qlsvghlnoz
ipyfuwfupn,0.241,iuuzvkhqxj,Dog
-299,xqmxuoxhch,397,0.333
cat,swuhyyhutx,-0.425,sftjrheobu
DOg,dOG,-589,569
-0.1905,cmqniwvovn,-0.4895,gcbenqszrc
0.3215,0.0355,CAT,-0.4345
Dog,-663,DOG,-0.426
