ppqkshlzuj,oaqzypamxs,tmroqmgrus,asividhhch
-447,vfdixeoatg,bkhjndzzuu,jmapmzcxio
lbkvfefhng,0.3585,0.0805,0.4185
0.1775,0.1915,-758,fttgzpmoup
-814,615,CaT,0.375
0.387,CAT,-0.3585,xuhlvqmryp
-344,0.051,60,CaT
983,-0.09,dog,-0.015
cbnxsbpdic,-563,-427,0.362
-686,-0.275,436,bnclcdhlar
rrouyrmzlw,cAt,0.3375,343
811,Cat,caT,634
-0.057,846,CaT,-0.1
-0.0105,DOG,0.1625,-783
tuozvinczd,749,-178,dOG
-957,dOG,-0.0925,coghgnlmgb
dOG,412,-261,huwsmsssps
0.111,511,jukcwdotdw,0.356
CaT,aqfaibaeaj,vzjgtohrzb,-585
522,dOG,cAt,pxpluxylyg
ujuasbkhnj,0.445,614,-849
0.2215,CaT,-0.027,dlrwcnbnhs
-99,989,-906,-258
914,Cat,0.4505,dOG
-576,-0.24,0.3745,CAt
eqbvtxcuca,-0.003,ozkumidmcc,xuctgtrzkq
-0.437,-0.4155,dOg,rzjbpbkoee
DoG,ybtfbfedqz,-0.2665,-0.152
-65,-0.4235,doG,nohmcnucic
ldcfaoysoa,-459,-0.4555,0.259
0.11,CAT,iebuaejemt,-0.124
481,xsnioldxip,cAt,-53
0.316,pjjegwmres,DoG,bwdumafwtm
mvntpvsplr,nsmryltqsy,tggddiyuxe,cat
0.423,cAt,-0.056,pbczdrvskp
-0.377,dOg,656,510
0.4605,cAt,cAT,489
327,-258,-0.4635,cAt
0.2515,-674,CaT,dgdqairjhe
amaqucoufu,sczekdulrz,0.262,-0.2775
vaaqqxiszm,cjymkblbir,ceckuzvsyl,cat
lqiwzvlcok,CAT,cAt,-0.13
-155,bmayjusaug,dog,jzvtqvkfet
ospzeufrgv,-942,lkojaqkdmg,-0.432
hwcggjziby,-365,CAT,dog
ymsqjfvhpk,elcpbpjdih,iioahxlhvh,767
-218,-0.194,-0.272,oqrnmeassn
0.444,lkcybnwapf,gtvxhkcyeb,788
winizolnxx,dOG,-481,-919
uwnzexwcwm,0.0955,-0.444,0.083
Dog,theanabgbr,dOg,0.1255
0.36,244,wvmorrohmz,-0.276
-632,468,ytlywwhwld,dog
iviasbimgk,-185,-0.411,-0.4325
dsalsnmmcc,0.2475,-361,dog
0.245,ixtgelhiyb,-0.3125,llvfqrgwqa
-29,-0.423,0.274,-608
CAt,cvfvhyjiby,-0.0015,0.446
kylqiiajyr,-0.25,soyquhjnie,-0.132
-0.218,hyovvhthtt,yamzqkgwct,nxcpqonbfr
-0.413,-0.2685,-0.1905,748
cat,-245,-983,DOG
DOg,-0.062,dOg,xwxlqgivwb
0.035,pufvvwciax,0.4125,rvvbabxjln
-0.2295,cAt,0.351,suyfftmmls
aqhpwffumq,Cat,wfbserigmb,dykgrubkkk
-632,dog,-489,CaT
103,jxxixdzgqz,lwtnbtvfcp,-396
Dog,dOg,ysexkgnpvy,DOg
DOg,fppjzazozo,0.0245,81
-19,amzsdudmsg,-0.289,tmcndnvrbx
0.495,0.3865,dOG,wjuqpzwsfo
dog,-485,lrtrjektqi,cAT
427,jcmpsenjbl,-814,-0.456
-352,-159,caT,226
999,0.4505,-0.0365,-0.327
0.0415,iagucotwyj,DoG,0.0915
-0.0105,-0.335,Cat,-0.051
