lhykifcruu,khtkjdznfw,rpdcprhirh,ucdizuafgn,rhnidtemyp
-790,-738,0.276,-0.3845,-538
doG,iumltlbqqq,918,0.4645,idzjwkynkq
0.141,doG,ueecplfair,cAt,CaT
0.002,DOG,839,0.4925,973
-0.0025,0.2265,-0.488,-519,-615
qjvyclguox,0.497,0.395,-35,DOG
-0.4925,457,-0.2585,DOg,0.347
ffeljivkqt,neoatuvixm,caT,DOG,vhfliuybfm
0.3895,-328,666,0.3865,0.302
-529,-534,dyypiebtkq,fxiimxttip,DOg
-0.3095,cAt,CaT,-0.112,fgexplmwui
-239,-0.065,-0.034,0.2285,CAT
-0.3075,caT,892,-38,DoG
204,hxoqdpjhnz,917,totzojsfhj,-976
dOg,-0.0715,14,-0.096,0.113
-284,txuzprrjmg,-692,-457,-462
0.159,-0.4755,-0.462,-145,190
xelnbohvjs,282,0.4055,lnlpoibxtw,kvsekmadum
cheybwqsvn,lekalyrkpk,-0.2475,dOG,656
-549,jqmqqhzkko,-24,hmfqeyowcl,-133
DOg,gyhlvyxewt,cat,otkvttfxml,qqjefccays
pmzvmptcjv,CAt,-0.3505,mqqrywhycd,481
fsimjuwxfn,oxbmlzyqni,CAt,0.0975,-151
oeyiashcls,hlcbaiekrf,593,zfipxdkxwn,-0.1255
dOg,0.093,991,CAt,feryyloutp
0.2265,0.4455,hnxmbgaith,-915,CaT
wxidonwlmf,mvlzrbqgoe,-0.1605,-517,dbmsxbxnot
DOg,-0.2595,-659,0.4955,zarweuphqn
-0.3285,0.2455,wfbdvwqtmr,pszfxhqyvb,-425
-523,zvsxlovgea,636,zoupgcdyfa,ztpyplhdga
dOG,mvskdyiswg,126,dOg,zwxblamkkb
