syuryjkpsd,ifblswdiqv,senspgtsks,voprtogtad,cqknsvnfkj
caT,nrvmxlwxye,DOG,656,omundieqlb
-138,-0.3505,0.3765,875,1000
0.1545,CAt,0.2395,ggbytabqel,xhpyeqbmfe
-59,653,crjmuztrut,vahaijcggp,DoG
DoG,yflingzgzy,181,825,sbaamxvbtz
ueotifzorm,fyeljiumvi,-0.2545,DOG,0.4645
-0.1075,-691,Cat,cat,-952
jelmpexrfn,kzatgmobyw,-107,-911,105
ihnssjfjar,0.3665,-878,mzjydixnzn,mtwezktafa
776,DOG,zgtxvkjrrv,495,zdakjndiua
DOg,475,0.4085,htcettsjbh,rldyauegvg
-0.086,Dog,caT,dpuafvbkon,-0.484
CAT,-0.246,0.445,xhmlelhnfj,swemopyvdu
hpcccwpfhq,260,cAt,0.047,qotdiaqsft
CaT,-720,0.287,-0.192,983
hgyfprrazt,-14,abdpaldgha,-182,CAt
nkodymiivp,DoG,-249,961,0.164
cAT,fmnalrfcvt,dog,lebhrdeepp,0.471
359,0.176,qmqmehidrq,mmfyjkiraz,cAt
-0.0675,igzxtaqyvq,736,oejcmswhkx,0.14
0.4185,zrgpcfolla,jxyphsquof,0.173,-753
-0.34,0.193,-520,-889,-0.3745
-832,901,cAt,-0.0345,zilwqxiqey
-487,181,zlgnthnkom,pyghwofyly,-292
kwzyecnxgk,-0.1735,263,-346,-0.044
-0.246,-495,hrgisfxrrh,koggumdqoe,-521
-833,doG,CAt,-259,675
0.332,dptasafulp,jduzbthhjc,-442,109
-107,cat,0.281,bkqyrsmgjt,98
-0.1855,45,-0.283,gidpayrpsa,397
0.129,rqlbfdogyc,-0.2985,0.1965,mzftxjndtr
-0.445,cat,doG,wltxndjgam,-819
0.214,0.468,cAT,vpfpwcbztn,caT
-491,-0.4065,-0.4685,smoivetcpn,708
dog,ogsnsmebey,cAT,-780,-0.4085
-0.3895,-672,0.4245,288,rdameuprht
Cat,0.02,-874,wiustnzrdn,trsbofxdpk
iklosmmfkr,742,zywhjamhhr,958,0.292
akxzrnrewm,594,0.1615,-0.3425,dOg
CAt,-0.4285,-304,uhnezgoyci,0.3415
0.282,cfgcvrfmjf,doG,63,dOG
-537,0.3135,0.1595,0.008,-0.2225
-0.0185,0.358,dog,-290,601
-118,-719,-0.43,-893,tpgpkduvzl
-526,DoG,kegfywsaoj,-670,CAT
-0.352,-209,CaT,608,0.303
gvyiswpboa,dog,0.0805,0.1315,0.1995
wqjdamieig,0.394,wgserjgzli,231,-0.208
xdqywkkpij,352,0.242,0.02,155
404,xyqbutnmhz,DOg,vumzknecbv,856
gszrgdfwmu,-0.4315,504,dOg,jnottvegdi
cat,ilumospwok,myspnqxevh,-284,wpqnzsbjpz
