ycdwlijmvc,wgjaqywbbt,jcorgfpjhx,PeT,gyzlcoimyd,xscmkkrsfh
589,-579,-783,dOG,lvzekfihdp,0.0055
CAt,dOG,-326,855,acazoxuoqu,0.3805
bbsrzlxoed,hrlcwrwbiw,CaT,CAt,-0.088,Dog
0.375,0.2365,-275,CaT,prtvdlpday,975
-0.0345,CAt,cat,caT,-0.104,kphjwbjfap
dOg,DOG,oxvwwhkwon,DOG,dceawnqdid,40
dog,DOG,lqgdfnqnae,CAt,453,DOg
469,0.243,-0.341,cat,989,-314
aklfrxsjew,193,uujqsdybdk,cfpxpwwwhw,awthjxtnat,znwaeapbby
-433,0.2065,DoG,cAt,-230,-635
-0.342,0.219,862,DOG,scuhfugqrc,0.057
wlcnsigcpz,sercdiqjht,-0.4995,DOG,-0.076,-693
CAt,0.3175,0.209,CAt,ueqsumutbn,-481
kjkcpaasxy,293,oqxwhmvpoz,CAT,Cat,dykrpddlxf
dOg,pllqtrdxwg,myyerzzzda,dnerqtaaet,CaT,-0.008
0.239,0.1825,jbmfkfmqni,dOg,616,kdabgoxmom
0.29,303,0.4145,0.0165,-0.119,abknrjlcvb
sxkyxvjpdo,dog,-988,dOG,xxmgrhtxow,587
0.3025,-0.067,-0.3835,dog,825,klqeycqvsx
0.2365,CAt,-0.4915,DoG,hzjhvwbagk,142
kydnkzyfva,0.4505,CaT,caT,476,874
-701,29,-173,Dog,dOG,ruloirsapc
dog,429,-839,qtalitoiza,noslehchhc,dog
Cat,oyrvrstojb,0.2,ovbkngaldq,usdgcjojkc,0.234
0.3985,553,vszpjxddlc,-810,dog,-0.3235
0.18,nhaxdqdbzp,-330,Cat,lyntdemrga,jpzwiikofo
-0.2765,-81,dOG,doG,-0.0645,0.3615
-307,qopjiuaksx,oqyjpvgsvj,dOG,975,qxuyuzqzsy
pgjmhrjlzw,fruwtrzwkz,bajvaavizp,Dog,-0.273,sftalqcfmt
0.0085,-0.398,0.4445,cAt,-0.175,urbbrsnitk
Cat,-819,rcykjjsxbg,stshzexvhz,cAt,0.435
triiorwmhj,-830,dlefebzfrg,DoG,decaqnhghp,299
wgwvftkemj,-651,-69,DOG,-954,kgtlwfbsdb
789,ntagatvbyw,-234,-0.1285,0.4985,eoaggpyrax
-0.3905,-0.021,44,Dog,290,dOg
0.1045,-0.2995,pkrloqkpvl,Cat,xwevndyvms,-495
caT,dog,epgqymziyn,DOg,gdkyqpsclb,Dog
wyzpwsewxl,-88,-0.3125,-274,-88,-18
wvpvpjrjpn,cAt,erfdccmynb,CAt,doG,otmjslujqc
dOg,-0.0675,xueuerpmxu,CAt,dOg,mmzqepoahy
-172,yhkvumhaew,-0.211,dOg,-0.386,0.4875
0.1355,-718,-806,0.353,584,dOg
0.251,yyexazjzdu,-0.075,-90,0.2365,mdtepkkfvc
0.454,udfmxvubvs,828,670,0.214,pdgvuuvzip
-0.264,-168,-0.3105,CaT,-828,kcylkrxmuz
-0.286,caT,cuubydbgfe,DoG,-338,573
-0.1955,cAt,-0.009,0.0215,rkrddhcxuw,kdwpqximqq
0.296,-0.1875,cat,Cat,533,-0.293
smacesygzq,-0.426,Cat,dOg,0.113,735
DOG,cAT,ryejvyeoea,DOG,436,-477
sfbxgpmzkh,hnidxjkqdj,dOG,Cat,zytldxqdgm,-650
qdpywtxtka,-992,475,ofylstekgd,cAT,doG
-0.4685,ksbgpjypbw,258,bowsnbizca,156,axqxeygsdx
-0.346,oxgennombw,caT,xxfjufrgjn,-516,dOg
ckttudoewx,-0.103,titrfjysrm,jadiokxhhe,CAt,-0.097
DOg,CAt,xvphsuskue,258,DOg,CaT
ntcdcypqpl,0.019,0.21,fdzimobbqb,dOG,0.4325
879,wjllecnypp,Dog,-0.039,cat,-0.479
enfwumxcxq,snfkfmznui,-0.046,caT,dog,0.138
DOg,380,-241,CAT,khkirdxnxn,-206
hoibwpcrpi,356,-270,cAT,0.0095,787
nlyfnhglnn,lbwcjnjvsf,cat,DOg,-0.3695,oinlzecwjl
-0.47,-604,85,DoG,0.1625,vplayvhmqb
-0.0735,-0.0625,321,CAt,140,-0.172
jmrvvbsabn,uvrugmgved,-467,0.18,0.0805,0.0675
-0.063,xxfhcfrbzg,pcmbjppefp,dOG,uaxqugxcki,-813
-0.211,-0.036,602,DOG,dog,995
-432,Cat,0.083,CaT,-576,-682
cat,zotnxscazp,xyhhcucxyf,cAt,0.413,0.076
sjlysohafd,-0.241,akarrazkwl,Cat,0.4995,0.171
0.2515,-208,gqcnqkpkgq,252,CaT,0.094
-489,ukaicbskfy,-0.287,dOg,jaovjuedyx,0.277
dOG,-0.1855,0.4965,CaT,0.2495,blzaqtwovx
juechudibi,-616,0.3925,kevppbfclg,qzderirzjj,0.067
ivbesejxbm,439,985,cAT,0.3345,szgxjyeqmc
dOg,lpycpqcwqg,-0.4085,-0.4805,-0.031,euyghlijwz
0.4075,-0.0255,ftpykzkfww,CaT,-565,0.2255
cAT,441,302,CaT,-0.0715,tirjigreso
-744,-998,mosefmcvxy,dOG,631,lrycmgjzzn
