osxukentzh,dnmlrpvnpd,pET,fmmtizaeha
logjaatwdo,jeyktnqybq,dOg,929
-612,nafihmsdxg,-692,261
DoG,dizllybsdb,doG,jbsstvdypo
bbflhmndnk,647,DOg,-703
-0.011,-0.0355,Cat,DoG
ljmzzsdcfu,0.322,DOg,CaT
0.198,0.042,-0.456,0.14
vfitzbuqlm,ifxrxugxkv,cAT,518
mhkderpzbe,-7,CAt,-572
244,CAt,DOg,cAT
-0.2405,ryoywdjxpf,caT,CaT
716,ndwmzuqtmb,CAt,-243
doG,626,CAt,eqsbdunlpt
-675,-0.1125,CaT,DOg
-0.4125,-378,CAt,-130
cAt,-592,cAT,0.1055
odnytndlas,968,CaT,dOG
enbnstgyqg,13,CAT,446
-933,-0.0225,CAT,jwcwwpyxql
Cat,0.0375,Dog,135
exlrywvben,-0.2575,DOg,DOG
CaT,737,dOg,ysxlkekkcq
0.012,826,Cat,555
jwlokoempr,-0.3365,cAT,0.488
doG,ottmfbcxdr,CAt,-912
0.3575,doG,-163,177
-0.462,786,-999,557
-13,534,cat,835
683,245,cat,Dog
-443,0.1165,DoG,-270
-588,-0.0935,168,ztzbldtzee
doG,dog,cAT,omjcjoulrh
toidnguoxu,CAT,CAt,DOG
-770,iblcefmmwm,doG,wtzunkzfyz
mkaivzdurv,shiedmmbxo,dOg,248
CAt,exkexkxzfs,cAt,jlidthfbnq
caT,0.282,DOG,682
-302,460,0.4155,482
dxbvzyygvx,Dog,CAT,-0.4145
-0.361,69,-941,-43
dOg,298,-893,0.2465
-0.1985,ostmwwrvzn,cAt,0.253
0.3255,kckblkrrgg,CaT,-0.23
0.1475,ilfrmcieym,-412,-56
0.26,791,dOg,-0.0665
982,825,caT,329
-877,-0.201,-0.2455,aanxxfliay
-724,0.3125,CAt,fpabslgtkj
0.224,566,Dog,DoG
-0.17,apztwhcful,208,0.011
dog,qjywegdlot,681,CAt
bxnkigpaun,stzekncnox,0.1895,cat
-14,-0.454,0.0185,dOG
-0.1315,-0.4745,pmdmyhmipj,0.193
dog,-0.179,bgqppajdkv,doG
ilvqsibrqf,turpjoilfn,0.3115,0.223
-942,djhoeyebzw,caT,-202
wpljtrgjhi,0.196,-0.498,-0.469
-617,wqzhdpztre,dOG,29
cAT,377,dOG,-382
bpbqhqwbfa,DOg,DoG,-0.298
-0.3325,lqjbyafsbh,827,dOG
521,0.454,CaT,cAt
oqmsyjdvvn,wwobzecgiq,DoG,559
446,ciormtbywp,dOG,kgdquytuwh
0.0075,0.3375,CAt,0.1065
-0.362,0.048,0.493,Dog
cAt,-247,eebczfsggs,599
914,579,dOG,iwdvempnlu
-271,234,-0.3955,-717
0.0385,-603,Cat,0.028
fxgtophtcw,-808,CAT,mxwpbzcnex
xskmbihfwo,-605,cAt,DOG
dOg,0.0945,cAT,-0.1725
0.4265,CAt,-0.172,248
yljanbfvav,-0.0145,dog,-430
-163,-0.0015,524,-554
CAt,bpspugwous,0.396,-0.3205
884,Dog,0.2405,mzggicctmn
doG,Cat,982,rndqhysqzm
681,-658,cAt,-0.4555
Dog,Dog,Cat,-126
dyjaqnqppt,tizzuppedd,cAt,915
126,-0.04,vtvphtvmeg,-16
-0.0955,0.402,-0.059,-31
ljtdsbatrn,20,cAt,520
-0.388,392,dOg,0.4765
-487,448,-0.11,DOG
233,-0.293,doG,666
0.1995,0.2125,dOg,-2
0.439,awmhlyutat,Cat,eprvcjfnix
doG,lfjhqjvkjo,leceaundgr,ivrecbvcdb
caT,ikdmhjurgo,Cat,940
-0.1595,-780,DoG,ksmumzpudo
-119,885,-125,falvzuphdl
