pet,ytemihnqft,omnopccpvi,vyulvlueym,meupgfawuq
figjclroop,-765,0.486,fxtandkpqf,816
dOg,0.061,-0.3895,0.4095,-763
DoG,-300,-387,-456,-0.1495
-924,affffkpmyc,jnpyppwomz,deuxhgytsj,-0.2465
caT,-0.4815,0.4525,-185,714
Dog,hurljgcreu,882,-0.0695,0.4705
hbajxercth,pqbfmlaymi,0.247,-0.1645,-0.069
CAT,-316,fywotiqczz,lboguzctcj,uffrwzmcxm
bppnljonuu,cAT,Cat,dog,-752
CaT,CaT,gtkkpbbary,syfhdhblbg,cAT
caT,-0.36,Cat,738,170
DoG,-610,0.0875,0.2265,dOG
doG,dOg,0.219,-728,0.3205
CaT,-0.4635,-260,219,0.422
-306,868,dog,-0.289,-0.386
-925,-263,931,fpahsgiood,dubioaqukn
DoG,zufgvxykab,0.1325,rpbvlzysqu,rgbivppebl
doG,-0.2725,465,caT,0.2025
cAT,Dog,0.402,DoG,DOG
dgwnazymwc,DOg,-0.1685,-0.4575,psmjafsmme
0.02,-493,0.3705,DOg,rooypmbfrx
DOG,dOG,CAt,cat,CAT
