vnccogpnht,gijnhmrmvd,fuqhyqyrwr,ucbwnlukfh,pET,jttanofxdj,atobobqajm
aoxfeujkfd,-26,vsvltkgneg,277,CAt,0.2175,elngppotmx
tfjatfzmae,-826,-0.3775,-0.393,DOg,419,0.1625
lybdjvwokj,777,ixxxpfxnuz,CAt,-0.021,-730,mzbmbwhyjs
-0.1655,gtatwzhwnl,-743,-682,dOg,nntrveange,0.2785
tkmxukierh,izoymceopt,gvtfmtztqu,61,cat,904,-717
-0.2365,nbqposaeld,-0.1935,-371,0.4025,twugncrxau,cowcpbfdtf
802,-243,400,-0.0995,Cat,-0.286,-0.1205
96,338,okbmzxyyoy,0.0265,CAT,-0.388,0.1695
CAT,doG,0.2775,0.231,gislqhfnqi,-192,-738
0.124,dog,0.069,-0.1,516,sizxjimtkj,-898
0.4435,ipfiitmvix,apvafadoum,-0.062,cAT,-123,-729
526,381,rwgtncbxus,nqvwqbftwa,DOg,hooawnfimc,0.4785
-0.4185,jheublsght,tmqaekxjup,-651,dOg,-0.07,0.3785
yoqslekydj,-661,-0.1995,420,-558,jdciihkecf,0.3515
0.4415,gmkmuflnas,0.1875,cat,doG,117,uhaxcjtdgq
