xclduclxnc,PeT,ucnwdqzfou
kafwuikmzl,cAT,sdxdvdxamt
-0.255,-0.468,pvanyqunfw
171,cAt,vokhfxrkzt
0.4195,xcxrablhxz,-0.37
-0.075,DOG,-450
0.1615,cAt,-0.106
502,kyfrjgdlgz,gfzyrtvvwi
0.069,-617,qrrkkiitcp
iejnotmwzf,dOG,755
DOG,caT,uwskxcjusa
cat,doG,-0.2075
668,ssjmlpipvr,-0.437
nvolgimazp,cAt,288
107,gbhasyiewj,DOg
-420,dOg,bsfmhywgsy
972,doG,dOG
0.3545,dOg,0.324
sefhqklbiu,cat,948
-637,CAT,cAt
-576,cAt,-0.23
290,CAT,0.4015
kdyivjfqdq,793,CaT
cAt,CAt,doG
doG,CaT,CaT
629,cat,cAT
doG,0.21,wcbmjdqits
69,DOg,cAt
