vcibiltvin,uvelnkoxhj,izgdyzdiko,ssevdqftrs,oejclartvh,hadnpvvzfq
ncdqbkmeyf,-0.097,CAt,-493,-300,640
dog,0.1325,gzbahkbavb,dOg,-749,dOg
cAt,453,dog,0.348,Dog,581
aelljrzhta,gjheofnnkp,0.2655,614,-688,-465
0.419,0.459,tkreckdrlj,-0.0905,jvqzzvzrml,929
sudfscvupw,0.1605,-985,glpyhcumyu,-113,-0.1405
39,lpkzglosbn,0.138,-0.374,-386,ahsarqfckt
-0.3085,gupobipile,-196,qupfjtcnsg,adccwcbdnq,vaowvdwbql
-0.3775,ssgaifocrh,0.4415,379,bppwgfmreu,-53
-250,wxmxreioha,988,395,zkchfxqsha,-979
498,-576,-759,-247,uhumyvyvnw,0.246
mxmcnihken,-0.2385,295,388,768,caT
-454,aosvmzgdlj,0.1515,164,Cat,73
-0.041,-383,-874,gjubjdnowm,dOg,phphxekaib
-0.4045,-83,jsoztoivin,0.3155,76,gsyjyjngda
CAt,845,-0.0985,CaT,52,qunrfjdfjz
Dog,363,-0.1525,ejlgpngnck,-0.322,-0.0505
223,cat,-428,hqadtxjpmv,cAt,eqhjgzptej
myzlqcglag,0.28,804,xftazrplnz,445,tttlxupsdt
0.0505,-0.16,218,-983,0.1605,CAt
81,0.456,0.2035,0.279,doG,jqhgqdthzv
-0.3395,swbsntuhii,0.1515,dOg,932,kzinlqgrsy
0.1705,dOg,-0.154,0.41,caT,-428
-0.224,-143,aemecldzho,yfwukpoery,DoG,0.1115
CAt,389,hsxvtoukki,-177,-922,-220
pulvwgoxjb,0.33,Cat,-0.4015,-0.126,-110
dOg,-0.3325,dOG,0.1195,0.1335,0.069
292,0.348,vkhnshnkos,lhyhmcyaoe,btwulbhdrt,ldpvdqclwf
