vanwesgrdw,PET,zoelzyfnrs,gdhppseedy,zdilkqoczg,wdykvfxhhi
-0.104,Cat,DOg,mvadsoianh,0.4135,-69
0.327,-656,-841,CaT,wypdgqjrtk,-188
0.4935,dOG,0.356,-716,-305,cAt
DOG,-236,865,-0.117,-22,zmqtknznkp
dgkrlmjbja,caT,576,818,0.138,mfiryuknuj
-403,doG,CAt,651,dgzeclcmjk,mxnjsawkat
dOg,CAT,-239,cAt,usatlhpbyj,xfaypmztye
DoG,Cat,qksygzofxo,-947,xpiymlghxx,0.499
pzykraiktt,msbqnigrxu,768,107,-0.149,Dog
dwehdenolp,DOg,DOg,0.344,bbaoxwtgrq,ymmvressqb
-0.4505,DOg,-603,0.324,0.202,543
obzrpfduih,DoG,-953,Dog,zbvlyymmwh,-0.2185
-0.0245,Dog,DOG,-0.465,-816,ejasihxwnl
489,caT,binvzvuqxs,zzvawmdtfb,sscvedvfsc,Cat
-905,doG,-0.283,Dog,-156,CAT
-932,DOg,ystmzncdze,xdikrfqeae,-219,0.255
62,Cat,cAt,eezejwhrmb,62,-0.398
-0.3615,caT,DOg,-517,0.354,ecqeacfyqs
0.0225,-0.1535,gpfwnitomq,-0.0995,-490,-690
tomdczocmd,kquckhywme,-0.415,-0.3395,-539,-0.28
0.19,DoG,qurbgnzarf,DOg,scstlwvzwb,tsnlelisgr
CaT,0.3995,738,-0.2965,cat,65
866,-0.098,qqhvkndfme,-0.415,mjsnxoynst,sdigpsjaqr
371,fvysaddrzh,bwykjblvci,-994,0.1585,-895
-649,Dog,sykheuacmq,-861,-0.4945,xusxdvrsdi
967,cat,doG,hxcosbutxi,0.402,cAt
DOG,dOg,caT,883,-0.4695,-255
scoymwhdnu,0.152,-0.425,-0.3235,-0.2845,-57
-0.244,CaT,wbqgymozys,ynfyxdmphc,-845,0.313
DoG,-863,-0.0755,hbpqzafgvs,-0.461,ffevhhkzqz
dOG,dog,wmmwxjopjr,322,Dog,-170
efjqiozbpz,CAt,0.4285,-0.2345,-518,Dog
cAt,0.0765,doG,283,ldjcpavbub,0.228
sdmncghizx,cAt,-143,hylrjhsqmv,-0.018,gljsabsqlj
fcnbxhnown,DOG,-254,cAt,-490,-0.4145
-0.0445,doG,0.1805,-800,ligpfxlsam,tqaqcbcikj
pxcdtxvgea,doG,Dog,oyogsbdyib,-0.2735,324
ahuwqodszo,0.035,514,-691,-0.3,wzxleputbe
0.4155,vhqltklgcd,0.3495,-766,kqgmpryjam,DOG
DoG,doG,dog,ehlfkdwmbt,-0.152,0.0845
