nqkbupwgxx,pEt,qywofuhbqv,kaudpnxlty,ntmevknick,gqapzkbnvo
-0.3325,pikwzdmlct,152,cAt,kosthvdgwh,0.317
cAt,0.4905,oowbzkxntg,-38,sdcgsvjjqq,rmrmbgzpgn
607,CaT,onqgmfwgqa,-923,-0.2495,vkwkuincfl
DoG,cat,tvbcifqvzw,xklzdrcpjr,-0.207,tdwnuhakpk
aovvdmlzss,doG,xbjntyfyfn,0.0935,-0.2285,hnwotxdxpr
-937,CAT,-0.182,dOg,qziadnjbms,0.0135
677,dOG,273,-889,-273,-928
-13,-0.2475,xayjeewpnw,-0.221,gwpjbbwjna,vakvxlpyfv
-414,672,0.0985,0.072,0.489,0.185
-0.487,dog,386,0.0115,oqpnxuhznf,0.2265
90,cAt,frpimpnupc,ihgdojkwqi,-865,-0.0545
148,emznxinlqw,DOG,525,541,DOG
0.053,-0.0675,109,DOG,-336,0.3055
uvpfdinhxo,dOG,-972,111,DOg,-0.085
jdoanulzsj,-804,0.3115,dOG,cat,dskopndavn
-986,DOg,nqjwwqkmvy,0.4465,0.295,-989
rfpwszeodt,Dog,-0.243,0.446,zwcnsevbuu,akzhdgkvkd
cAt,Cat,-0.061,695,0.0165,dxpcmscvio
cAt,fqvjfkbntj,-651,0.392,wcgttfqhqx,CAt
dOG,cAT,nekzggrusl,87,-0.311,hhkslzssmk
0.0365,tvmhqkbqug,-1,DOG,-981,-0.421
DoG,DoG,dOg,0.0035,gahehszmwd,yxpzmzfrxs
-0.2585,cat,420,aspmarfkyi,vtnqpkeoih,tnsjzrmoyz
0.1545,-6,-0.266,478,45,-201
nmvccpppzg,cAT,CAt,0.0725,czixnyzmin,-0.176
fxhtpdsaat,-0.1055,0.1785,-609,0.27,355
0.1825,cAT,fofdbbgtej,0.2875,ctcbafcfav,-229
551,dog,cat,CAt,-504,599
dOg,CAt,CAt,CAt,fxwnhimejk,DOg
Cat,0.0625,caT,Cat,CAT,846
