ocsdjeotii,pet,nuoifpuovo,iclicigzgu,wxkbtcvssu
glmjavowll,719,CAT,oduduwxtbb,0.42
thnzlfegsk,cAT,-0.072,cAT,wfjmddaxmz
gkdgjaslmo,Cat,dOG,pxsdluwzob,dOG
0.0735,CAT,-430,0.4465,hxqsrjevbi
DOg,0.1875,CAT,414,nzwwxtjmgv
-0.414,dOg,0.072,edbtgdcbwo,830
-874,-0.2255,817,0.161,-394
dOG,CAT,ponzijezey,caT,0.3335
-228,CAT,cmzptewiwa,ufsufugsij,dOg
ljgjowhhdc,dOg,DOg,vtsrnjuasi,DOg
0.2705,-771,0.0825,-0.08,0.234
-223,cat,-176,0.4225,ghmjjkzqfm
-0.461,dOG,cat,CAt,erejwfxuqb
zjmfvnzxoo,dOg,-0.049,0.447,0.2985
-27,doG,442,0.439,0.1735
0.272,Cat,-402,cejbopelzw,-709
